event,uid,group,date
app install,7fa732b517cbed14a48843d74526c11a,b,2015-03-04 11:07:41
app install,8df707a948fac1b4a0f97aa554886ec8,b,2015-03-04 12:05:36
app install,6e7b33fdea3adc80ebd648fffb665bb8,a,2015-03-04 12:09:50
account created,6e7b33fdea3adc80ebd648fffb665bb8,a,2015-03-04 12:17:50
minigame_played,6e7b33fdea3adc80ebd648fffb665bb8,a,2015-03-04 12:24:50
minigame_played,6e7b33fdea3adc80ebd648fffb665bb8,a,2015-03-04 12:31:50
song_played,6e7b33fdea3adc80ebd648fffb665bb8,a,2015-03-04 12:41:50
app install,35f4a8d465e6e1edc05f3d8ab658c551,a,2015-03-04 13:03:38
app install,63923f49e5241343aa7acb6a06a751e7,c,2015-03-04 13:06:11
account created,35f4a8d465e6e1edc05f3d8ab658c551,a,2015-03-04 13:06:38
account created,63923f49e5241343aa7acb6a06a751e7,c,2015-03-04 13:09:11
app install,b0b183c207f46f0cca7dc63b2604f5cc,a,2015-03-04 13:09:56
subscribed,35f4a8d465e6e1edc05f3d8ab658c551,a,2015-03-04 13:15:38
song_played,63923f49e5241343aa7acb6a06a751e7,c,2015-03-04 13:16:11
minigame_played,35f4a8d465e6e1edc05f3d8ab658c551,a,2015-03-04 13:21:38
minigame_played,63923f49e5241343aa7acb6a06a751e7,c,2015-03-04 13:24:11
minigame_played,63923f49e5241343aa7acb6a06a751e7,c,2015-03-04 13:32:11
minigame_played,63923f49e5241343aa7acb6a06a751e7,c,2015-03-04 13:40:11
app install,25ddc0f8c9d3e22e03d3076f98d83cb2,a,2015-03-04 14:05:49
app install,735b90b4568125ed6c3f678819b6e058,b,2015-03-04 14:07:05
app install,d07e70efcfab08731a97e7b91be644de,c,2015-03-04 14:07:32
app install,3cec07e9ba5f5bb252d13f5f431e4bbb,b,2015-03-04 14:10:04
account created,735b90b4568125ed6c3f678819b6e058,b,2015-03-04 14:11:05
account created,25ddc0f8c9d3e22e03d3076f98d83cb2,a,2015-03-04 14:13:49
account created,3cec07e9ba5f5bb252d13f5f431e4bbb,b,2015-03-04 14:17:04
minigame_played,25ddc0f8c9d3e22e03d3076f98d83cb2,a,2015-03-04 14:17:49
minigame_played,735b90b4568125ed6c3f678819b6e058,b,2015-03-04 14:20:05
subscribed,3cec07e9ba5f5bb252d13f5f431e4bbb,b,2015-03-04 14:27:04
song_played,3cec07e9ba5f5bb252d13f5f431e4bbb,b,2015-03-04 14:36:04
app install,b7b16ecf8ca53723593894116071700c,c,2015-03-04 15:06:37
app install,d709f38ef758b5066ef31b18039b8ce5,b,2015-03-04 15:08:35
account created,d709f38ef758b5066ef31b18039b8ce5,b,2015-03-04 15:18:35
subscribed,d709f38ef758b5066ef31b18039b8ce5,b,2015-03-04 15:24:35
app install,ca46c1b9512a7a8315fa3c5a946e8265,b,2015-03-04 16:03:35
app install,605ff764c617d3cd28dbbdd72be8f9a2,b,2015-03-04 16:06:05
app install,70c639df5e30bdee440e4cdf599fec2b,a,2015-03-04 16:08:02
account created,ca46c1b9512a7a8315fa3c5a946e8265,b,2015-03-04 16:08:35
account created,605ff764c617d3cd28dbbdd72be8f9a2,b,2015-03-04 16:16:05
account created,70c639df5e30bdee440e4cdf599fec2b,a,2015-03-04 16:18:02
minigame_played,70c639df5e30bdee440e4cdf599fec2b,a,2015-03-04 16:28:02
song_played,70c639df5e30bdee440e4cdf599fec2b,a,2015-03-04 16:35:02
app install,556f391937dfd4398cbac35e050a2177,a,2015-03-04 17:05:00
app install,1728efbda81692282ba642aafd57be3a,a,2015-03-04 17:10:58
app install,8efb100a295c0c690931222ff4467bb8,a,2015-03-04 18:04:56
account created,8efb100a295c0c690931222ff4467bb8,a,2015-03-04 18:10:56
minigame_played,8efb100a295c0c690931222ff4467bb8,a,2015-03-04 18:14:56
minigame_played,8efb100a295c0c690931222ff4467bb8,a,2015-03-04 18:22:56
minigame_played,8efb100a295c0c690931222ff4467bb8,a,2015-03-04 18:32:56
minigame_played,8efb100a295c0c690931222ff4467bb8,a,2015-03-04 18:39:56
app install,8eefcfdf5990e441f0fb6f3fad709e21,c,2015-03-04 19:03:07
app install,c8fbbc86abe8bd6a5eb6a3b4d0411301,a,2015-03-04 19:08:54
account created,8eefcfdf5990e441f0fb6f3fad709e21,c,2015-03-04 19:09:07
song_played,8eefcfdf5990e441f0fb6f3fad709e21,c,2015-03-04 19:12:07
minigame_played,8eefcfdf5990e441f0fb6f3fad709e21,c,2015-03-04 19:17:07
app install,f1b6f2857fb6d44dd73c7041e0aa0f19,c,2015-03-04 20:06:19
app install,08d98638c6fcd194a4b1e6992063e944,b,2015-03-04 21:07:28
account created,08d98638c6fcd194a4b1e6992063e944,b,2015-03-04 21:13:28
minigame_played,08d98638c6fcd194a4b1e6992063e944,b,2015-03-04 21:21:28
minigame_played,08d98638c6fcd194a4b1e6992063e944,b,2015-03-04 21:30:28
app install,a8849b052492b5106526b2331e526138,c,2015-03-04 22:03:47
app install,d67d8ab4f4c10bf22aa353e27879133c,a,2015-03-04 22:09:22
account created,a8849b052492b5106526b2331e526138,c,2015-03-04 22:11:47
account created,d67d8ab4f4c10bf22aa353e27879133c,a,2015-03-04 22:13:22
minigame_played,a8849b052492b5106526b2331e526138,c,2015-03-04 22:21:47
app install,fa83a11a198d5a7f0bf77a1987bcd006,a,2015-03-04 23:04:25
app install,8d6dc35e506fc23349dd10ee68dabb64,b,2015-03-04 23:04:52
app install,49ae49a23f67c759bf4fc791ba842aa2,a,2015-03-04 23:09:15
account created,fa83a11a198d5a7f0bf77a1987bcd006,a,2015-03-04 23:09:25
song_played,fa83a11a198d5a7f0bf77a1987bcd006,a,2015-03-04 23:12:25
account created,8d6dc35e506fc23349dd10ee68dabb64,b,2015-03-04 23:12:52
song_played,fa83a11a198d5a7f0bf77a1987bcd006,a,2015-03-04 23:19:25
app install,1fc214004c9481e4c8073e85323bfd4b,a,2015-03-05 00:06:55
app install,46922a0880a8f11f8f69cbb52b1396be,a,2015-03-05 00:09:10
app install,a4a042cf4fd6bfb47701cbc8a1653ada,a,2015-03-05 01:08:25
account created,a4a042cf4fd6bfb47701cbc8a1653ada,a,2015-03-05 01:11:25
app install,f718499c1c8cef6730f9fd03c8125cab,b,2015-03-05 02:04:35
app install,fc49306d97602c8ed1be1dfbf0835ead,c,2015-03-05 02:05:50
app install,82161242827b703e6acf9c726942a1e4,b,2015-03-05 02:06:53
app install,d64a340bcb633f536d56e51874281454,c,2015-03-05 02:09:49
app install,f2201f5191c4e92cc5af043eebfd0946,c,2015-03-05 02:09:59
account created,82161242827b703e6acf9c726942a1e4,b,2015-03-05 02:14:53
account created,fc49306d97602c8ed1be1dfbf0835ead,c,2015-03-05 02:15:50
account created,f2201f5191c4e92cc5af043eebfd0946,c,2015-03-05 02:19:59
minigame_played,82161242827b703e6acf9c726942a1e4,b,2015-03-05 02:20:53
song_played,82161242827b703e6acf9c726942a1e4,b,2015-03-05 02:28:53
app install,6da9003b743b65f4c0ccd295cc484e57,c,2015-03-05 03:04:17
app install,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:07:39
app install,959a557f5f6beb411fd954f3f34b21c3,b,2015-03-05 03:08:26
app install,d645920e395fedad7bbbed0eca3fe2e0,b,2015-03-05 03:10:06
account created,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:14:39
account created,959a557f5f6beb411fd954f3f34b21c3,b,2015-03-05 03:16:26
song_played,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:18:39
song_played,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:22:39
minigame_played,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:30:39
song_played,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:35:39
minigame_played,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:40:39
song_played,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:45:39
subscribed,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:48:39
minigame_played,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 03:58:39
app install,3c7781a36bcd6cf08c11a970fbe0e2a6,b,2015-03-05 04:07:35
minigame_played,acc3e0404646c57502b480dc052c4fe1,c,2015-03-05 04:08:39
app install,4c5bde74a8f110656874902f07378009,c,2015-03-05 04:10:43
account created,4c5bde74a8f110656874902f07378009,c,2015-03-05 04:14:43
minigame_played,4c5bde74a8f110656874902f07378009,c,2015-03-05 04:20:43
minigame_played,4c5bde74a8f110656874902f07378009,c,2015-03-05 04:26:43
app install,13fe9d84310e77f13a6d184dbf1232f3,c,2015-03-05 05:04:52
app install,3d8e28caf901313a554cebc7d32e67e5,a,2015-03-05 05:05:26
app install,2823f4797102ce1a1aec05359cc16dd9,a,2015-03-05 05:07:24
app install,8dd48d6a2e2cad213179a3992c0be53c,a,2015-03-05 05:10:11
account created,13fe9d84310e77f13a6d184dbf1232f3,c,2015-03-05 05:10:52
account created,2823f4797102ce1a1aec05359cc16dd9,a,2015-03-05 05:13:24
account created,8dd48d6a2e2cad213179a3992c0be53c,a,2015-03-05 05:14:11
minigame_played,8dd48d6a2e2cad213179a3992c0be53c,a,2015-03-05 05:21:11
subscribed,8dd48d6a2e2cad213179a3992c0be53c,a,2015-03-05 05:28:11
app install,da4fb5c6e93e74d3df8527599fa62642,a,2015-03-05 06:05:24
account created,da4fb5c6e93e74d3df8527599fa62642,a,2015-03-05 06:08:24
app install,7504adad8bb96320eb3afdd4df6e1f60,c,2015-03-05 07:05:38
app install,3b3dbaf68507998acd6a5a5254ab2d76,b,2015-03-05 07:05:59
app install,02522a2b2726fb0a03bb19f2d8d9524d,c,2015-03-05 07:06:41
app install,7f1171a78ce0780a2142a6eb7bc4f3c8,b,2015-03-05 07:09:24
app install,298f95e1bf9136124592c8d4825a06fc,b,2015-03-05 07:09:34
account created,02522a2b2726fb0a03bb19f2d8d9524d,c,2015-03-05 07:09:41
account created,7504adad8bb96320eb3afdd4df6e1f60,c,2015-03-05 07:11:38
account created,3b3dbaf68507998acd6a5a5254ab2d76,b,2015-03-05 07:14:59
subscribed,02522a2b2726fb0a03bb19f2d8d9524d,c,2015-03-05 07:19:41
song_played,7504adad8bb96320eb3afdd4df6e1f60,c,2015-03-05 07:20:38
app install,ab88b15733f543179858600245108dd8,c,2015-03-05 08:09:21
app install,274ad4786c3abca69fa097b85867d9a4,a,2015-03-05 08:10:34
account created,274ad4786c3abca69fa097b85867d9a4,a,2015-03-05 08:13:34
minigame_played,274ad4786c3abca69fa097b85867d9a4,a,2015-03-05 08:21:34
app install,b53b3a3d6ab90ce0268229151c9bde11,b,2015-03-05 09:05:46
app install,88ae6372cfdc5df69a976e893f4d554b,c,2015-03-05 09:08:30
account created,b53b3a3d6ab90ce0268229151c9bde11,b,2015-03-05 09:09:46
account created,88ae6372cfdc5df69a976e893f4d554b,c,2015-03-05 09:14:30
minigame_played,88ae6372cfdc5df69a976e893f4d554b,c,2015-03-05 09:17:30
app install,d81f9c1be2e08964bf9f24b15f0e4900,a,2015-03-05 11:00:07
account created,d81f9c1be2e08964bf9f24b15f0e4900,a,2015-03-05 11:04:07
app install,7eabe3a1649ffa2b3ff8c02ebfd5659f,c,2015-03-05 11:07:22
app install,6bc24fc1ab650b25b4114e93a98f1eba,b,2015-03-05 11:08:19
account created,7eabe3a1649ffa2b3ff8c02ebfd5659f,c,2015-03-05 11:10:22
subscribed,7eabe3a1649ffa2b3ff8c02ebfd5659f,c,2015-03-05 11:18:22
app install,5ef698cd9fe650923ea331c15af3b160,a,2015-03-05 12:03:41
