uid,date,paid,group
35f4a8d465e6e1edc05f3d8ab658c551,2015-03-04,5,a
35f4a8d465e6e1edc05f3d8ab658c551,2015-03-05,0,a
35f4a8d465e6e1edc05f3d8ab658c551,2015-03-06,0,a
35f4a8d465e6e1edc05f3d8ab658c551,2015-03-07,0,a
35f4a8d465e6e1edc05f3d8ab658c551,2015-03-08,0,a
35f4a8d465e6e1edc05f3d8ab658c551,2015-03-09,0,a
35f4a8d465e6e1edc05f3d8ab658c551,2015-03-10,0,a
556f391937dfd4398cbac35e050a2177,2015-03-13,5,a
556f391937dfd4398cbac35e050a2177,2015-03-14,0,a
556f391937dfd4398cbac35e050a2177,2015-03-15,0,a
556f391937dfd4398cbac35e050a2177,2015-03-16,0,a
556f391937dfd4398cbac35e050a2177,2015-03-17,0,a
556f391937dfd4398cbac35e050a2177,2015-03-18,0,a
556f391937dfd4398cbac35e050a2177,2015-03-19,0,a
556f391937dfd4398cbac35e050a2177,2015-03-20,5,a
556f391937dfd4398cbac35e050a2177,2015-03-21,0,a
556f391937dfd4398cbac35e050a2177,2015-03-22,0,a
556f391937dfd4398cbac35e050a2177,2015-03-23,0,a
556f391937dfd4398cbac35e050a2177,2015-03-24,0,a
556f391937dfd4398cbac35e050a2177,2015-03-25,0,a
556f391937dfd4398cbac35e050a2177,2015-03-26,0,a
556f391937dfd4398cbac35e050a2177,2015-03-27,5,a
556f391937dfd4398cbac35e050a2177,2015-03-28,0,a
556f391937dfd4398cbac35e050a2177,2015-03-29,0,a
556f391937dfd4398cbac35e050a2177,2015-03-30,0,a
556f391937dfd4398cbac35e050a2177,2015-03-31,0,a
556f391937dfd4398cbac35e050a2177,2015-04-01,0,a
556f391937dfd4398cbac35e050a2177,2015-04-02,0,a
556f391937dfd4398cbac35e050a2177,2015-04-03,5,a
556f391937dfd4398cbac35e050a2177,2015-04-04,0,a
556f391937dfd4398cbac35e050a2177,2015-04-05,0,a
556f391937dfd4398cbac35e050a2177,2015-04-06,0,a
556f391937dfd4398cbac35e050a2177,2015-04-07,0,a
